"Player","Team","Positions","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Rost%"
"German Marquez","COL","SP","142.9","117","7","10","4.81","1.40","76","151","48","21","26","26","11","0","0%"
"Ian Anderson","ATL","SP","84.3","72","5","5","4.41","1.42","41","84","36","10","24","15","6","0","0%"
"Erik Miller","SF","SP,RP","62.4","76","3","3","3.51","1.30","24","48","33","5","62","0","0","0","0%"
"Caden Dana","LAA","SP","67.6","58","4","5","4.80","1.35","36","66","26","11","13","13","5","0","0%"
"Joe Boyle","TB","SP","58.1","68","3","3","4.29","1.48","28","45","40","6","35","5","2","0","0%"
"Emmet Sheehan","LAD","SP","23.8","28","2","1","4.26","1.26","11","18","12","3","8","2","0","0","0%"
"Richard Fitts","BOS","SP","45.5","35","2","3","4.62","1.36","23","48","14","7","24","4","2","0","0%"
"Paul Blackburn","NYM","SP","89.5","73","5","5","4.44","1.34","44","91","29","12","39","11","4","0","0%"
"Brady Basso","ATH","SP","48.0","45","2","3","4.02","1.23","21","46","14","7","33","3","1","0","0%"
"Albert Suarez","BAL","SP,RP","76.2","66","4","3","4.36","1.32","37","76","25","11","51","4","2","0","1%"
"Ryan Burr","TOR","RP","44.5","52","2","2","3.71","1.23","18","39","16","6","43","0","0","0","0%"
"John Means","CLE","SP","26.4","21","2","2","3.77","1.13","11","23","7","4","6","5","1","0","0%"
"Kyle Wright","KC","SP","79.1","67","4","5","4.22","1.33","37","78","27","9","30","11","5","0","0%"
"Quinn Priester","BOS","SP,RP","47.5","39","3","3","4.26","1.35","23","48","16","5","27","4","2","0","0%"
"Daniel Lynch","KC","RP","66.2","52","3","3","4.34","1.33","32","67","20","9","42","4","2","0","0%"
"Jared Koenig","MIL","SP,RP","64.2","61","3","4","3.82","1.30","27","60","23","7","58","0","0","0","0%"
"Colin Rea","CHC","SP","119.3","94","6","7","4.53","1.30","60","121","34","18","29","19","7","0","0%"
"Lance McCullers Jr.","HOU","SP","77.7","76","5","4","3.86","1.32","33","70","32","8","26","11","5","0","1%"
"Chayce McDermott","BAL","SP","43.9","47","2","2","4.18","1.36","20","38","22","6","20","5","2","0","0%"
"Trevor Rogers","BAL","SP","40.2","34","2","2","4.39","1.37","20","40","15","5","19","4","2","0","0%"
"Taijuan Walker","PHI","SP","62.8","46","3","3","4.79","1.39","33","64","23","10","37","4","1","0","0%"
"Keider Montero","DET","SP","41.7","35","2","2","4.49","1.36","21","41","16","6","21","4","1","1","0%"
"Mike Clevinger","CWS","SP","54.2","47","2","3","4.47","1.30","27","53","18","8","45","0","0","0","0%"
"Thomas Harrington","PIT","SP","12.0","9","1","1","4.44","1.29","6","12","3","2","3","2","1","0","0%"
"Tink Hence","STL","SP","16.7","15","1","1","4.29","1.30","8","16","6","2","3","3","2","0","1%"
"Noah Cameron","KC","SP","28.0","26","2","2","3.94","1.26","12","27","8","3","24","1","1","0","0%"
"Martin Perez","CWS","SP","140.7","103","6","10","4.58","1.43","72","149","51","20","25","25","11","0","0%"
"Cal Quantrill","MIA","SP","134.5","97","7","10","4.85","1.44","72","142","51","19","25","25","10","0","0%"
"Tyler Wells","BAL","SP","19.1","17","1","1","4.34","1.20","9","18","5","4","14","0","0","0","0%"
"Kyle Freeland","COL","SP","150.2","107","7","11","5.08","1.42","85","172","42","25","27","27","11","0","0%"
"Josiah Gray","WSH","SP","12.9","11","1","1","4.70","1.37","7","12","5","2","6","2","1","0","0%"
"Emerson Hancock","SEA","SP","61.4","44","3","4","4.61","1.34","31","61","21","10","19","10","4","0","0%"
"Alek Manoah","TOR","SP","21.7","21","1","1","4.18","1.27","10","19","8","3","10","3","1","0","0%"
"Jonathan Cannon","CWS","SP","151.3","110","6","11","4.79","1.39","81","157","53","22","30","26","11","0","0%"
"Spencer Turnbull","","SP,RP","61.8","57","4","4","4.17","1.29","29","57","23","7","13","11","5","0","0%"
"Bailey Falter","PIT","SP","123.6","91","6","8","4.57","1.33","63","128","37","18","35","21","9","0","0%"
"Keaton Winn","SF","SP","46.9","42","2","3","4.04","1.26","21","45","14","5","32","2","1","0","0%"
"Randy Vasquez","SD","SP","61.8","47","3","4","4.58","1.37","31","63","21","9","21","10","4","0","0%"
"Kyle Hendricks","LAA","SP","123.0","86","6","9","5.03","1.39","69","135","36","21","23","23","9","0","0%"
"Dane Dunning","TEX","SP,RP","73.0","65","3","4","4.33","1.32","35","71","26","10","46","4","2","0","0%"
"J.T. Ginn","ATH","SP,RP","84.1","63","4","5","4.53","1.38","42","87","30","10","27","13","5","0","0%"
"Jack Kochanowicz","LAA","SP","90.0","52","4","6","4.71","1.38","47","100","25","12","24","14","5","0","0%"
"Carmen Mlodzinski","PIT","RP","61.0","54","3","4","4.21","1.36","29","58","25","7","55","0","0","0","0%"
"Drew Thorpe","CWS","SP","87.4","68","4","6","4.55","1.34","44","85","32","13","16","16","7","0","1%"
"Shawn Armstrong","TEX","SP,RP","63.0","61","3","3","4.15","1.28","29","60","21","8","58","0","0","0","0%"
"Brandon Young","BAL","SP","29.8","28","2","1","3.97","1.27","13","28","10","4","25","1","0","0","0%"
"Graham Ashcraft","CIN","SP","47.5","38","2","3","4.36","1.34","23","49","15","6","38","2","1","0","0%"
"Tristan Beck","SF","SP,RP","47.0","41","2","2","4.08","1.27","21","46","14","6","38","0","0","0","0%"
"Shinnosuke Ogasawara","WSH","SP","59.9","49","2","2","4.68","1.38","31","61","21","8","30","8","2","0","0%"
"Brenan Hanifee","DET","RP","47.0","37","2","2","3.80","1.27","20","46","13","5","42","0","0","0","0%"
"Matthew Liberatore","STL","SP,RP","75.2","68","4","4","4.09","1.32","34","71","28","9","57","3","1","0","0%"
"Yilber Diaz","ARI","SP","49.0","50","3","2","4.20","1.37","23","44","23","6","33","2","1","0","0%"
"Hurston Waldrep","ATL","SP","22.6","20","1","1","4.51","1.47","11","22","11","3","13","2","1","0","0%"
"Carson Whisenhunt","SF","SP","28.8","28","1","1","4.13","1.34","13","27","12","3","13","4","2","0","0%"
"Ryan Yarbrough","TOR","RP","31.5","23","2","1","4.31","1.25","15","31","9","4","23","1","0","0","0%"
"Joey Estes","ATH","SP","110.3","82","5","7","5.03","1.30","62","113","30","22","27","19","8","1","0%"
"Chase Petty","CIN","SP","26.6","20","1","1","4.86","1.44","14","28","11","4","13","3","1","0","0%"
"Brennan Bernardino","BOS","RP","49.4","50","2","2","4.02","1.33","22","47","19","5","49","0","0","0","0%"
"Patrick Sandoval","BOS","SP","20.7","20","1","1","4.17","1.41","10","20","9","2","7","3","2","0","0%"
"Brent Headrick","NYY","SP,RP","35.8","36","2","2","4.08","1.25","16","33","12","6","32","0","0","0","0%"
"Logan Henderson","MIL","SP","9.1","9","1","1","4.36","1.19","4","8","3","2","8","0","0","0","0%"
"Cody Poteet","CHC","SP","30.3","27","2","1","3.97","1.27","13","28","10","4","24","1","0","0","0%"
"Austin Gomber","COL","SP","148.8","104","7","11","5.12","1.41","85","168","42","27","27","27","11","0","0%"
"Jordan Wicks","CHC","SP","46.6","41","2","2","4.27","1.32","22","45","16","6","17","7","3","0","0%"
"Antonio Senzatela","COL","SP","124.2","78","5","9","5.25","1.50","72","148","39","18","32","23","8","0","0%"
"Justin Wrobleski","LAD","SP,RP","40.6","36","2","2","4.35","1.32","20","39","15","6","31","1","0","0","0%"
"Jalen Beeks","HOU","RP","47.0","43","3","2","4.06","1.36","21","45","18","5","45","0","0","0","0%"
"Ian Seymour","TB","SP","31.1","29","2","2","4.20","1.27","15","29","11","4","14","4","2","0","0%"
"Adam Mazur","MIA","SP","38.4","29","2","3","4.76","1.38","20","41","12","6","9","7","3","0","0%"
"Jairo Iriarte","CWS","SP","35.4","31","1","2","4.74","1.46","19","34","17","5","22","3","1","0","0%"
"Bryce Elder","ATL","SP","49.4","40","3","3","4.34","1.38","24","50","18","6","15","7","3","0","0%"
"Drew Smyly","","RP","42.6","41","2","3","4.29","1.30","20","41","15","7","36","1","0","0","0%"
"Cristian Javier","HOU","SP","21.0","22","1","1","4.07","1.23","9","17","9","3","15","0","0","0","1%"
"Connor Phillips","CIN","SP","21.6","22","1","1","4.78","1.45","11","20","11","3","19","0","0","0","0%"
"Matt Manning","DET","SP","38.6","32","2","2","4.16","1.28","18","36","13","5","22","3","1","0","0%"
"Alex Faedo","TB","SP,RP","58.0","56","3","3","4.33","1.30","28","53","22","9","46","2","0","0","0%"
"Shane Smith","CWS","SP,RP","67.7","63","3","4","4.30","1.34","32","65","26","9","44","5","2","0","0%"
"Mason Black","SF","SP","38.2","34","2","2","4.34","1.33","18","37","14","5","24","3","1","0","0%"
"Sam Aldegheri","LAA","SP","14.0","13","1","1","5.00","1.49","8","14","7","2","4","2","1","0","0%"
"Brent Suter","CIN","RP","61.1","48","2","3","4.39","1.34","30","64","18","9","56","0","0","0","0%"
"Robby Snelling","MIA","SP","22.9","18","1","2","4.90","1.49","12","25","10","3","4","4","2","0","0%"
"Clayton Beeter","NYY","SP,RP","28.3","33","1","1","3.77","1.28","12","23","13","3","25","0","0","0","0%"
"Emiliano Teodo","TEX","SP","20.9","21","1","1","4.25","1.40","10","18","11","3","17","1","0","0","0%"
"Braxton Ashcraft","PIT","SP","37.3","32","1","2","4.10","1.25","17","37","10","5","23","3","1","0","0%"
"Roansy Contreras","BAL","RP","31.3","28","1","1","4.41","1.32","15","29","12","4","27","0","0","0","0%"
"Josh Winckowski","BOS","SP,RP","48.2","40","2","3","4.02","1.34","21","49","16","5","41","0","-0","0","0%"
"Joe Ross","PHI","SP,RP","59.1","50","3","3","4.48","1.37","29","59","22","8","40","3","1","0","0%"
"Zack Kelly","BOS","RP","33.5","35","2","2","4.12","1.36","15","29","16","4","31","0","0","0","0%"
"Mike Burrows","PIT","SP","32.5","29","2","2","4.41","1.35","16","31","13","4","24","1","1","0","0%"
"Nick Nastrini","CWS","SP","70.3","61","3","6","5.38","1.54","42","69","40","12","19","12","4","0","0%"
"Penn Murfee","CWS","SP","44.7","43","2","2","4.08","1.30","20","41","17","6","44","0","0","0","0%"
"Trevor McDonald","SF","SP","31.7","25","2","2","3.98","1.33","14","31","11","3","27","0","0","0","0%"
"Logan Evans","SEA","SP,RP","16.0","12","1","1","4.33","1.37","8","16","6","2","8","2","1","0","0%"
"Chad Patrick","MIL","","24.3","22","1","1","4.20","1.26","11","23","7","4","23","0","0","0","0%"
"Mason Adams","CWS","","26.7","19","1","2","4.67","1.38","14","29","8","4","6","5","2","0","0%"
"Carson Ragsdale","SF","SP","23.4","24","1","1","4.14","1.31","11","21","9","3","20","1","0","0","0%"
"Carson Spiers","CIN","SP,RP","47.2","41","2","3","4.90","1.39","26","50","16","8","32","2","1","0","0%"
"Dakota Hudson","LAA","SP","22.1","14","1","1","4.73","1.48","12","23","10","3","15","1","0","0","0%"
"Drue Hackenberg","ATL","","7.9","7","0","0","4.56","1.49","4","8","4","1","2","2","1","0","0%"
"Johan Oviedo","PIT","SP","67.5","59","3","4","4.42","1.38","33","64","29","8","26","9","4","0","0%"
"Gunnar Hoglund","ATH","SP","66.1","49","3","4","4.69","1.31","34","67","20","10","33","7","3","0","0%"
"Jose Suarez","LAA","RP","66.0","64","3","4","4.45","1.35","33","64","25","10","47","4","2","0","0%"
"Eiberson Castellano","MIN","RP","31.2","30","2","2","4.24","1.33","15","30","12","4","28","0","0","0","0%"
"Jacob Lopez","ATH","SP","27.1","26","1","1","4.10","1.31","12","24","12","3","23","0","0","0","0%"
"JT Brubaker","NYY","SP,RP","48.7","45","2","2","4.44","1.32","24","47","17","7","35","3","1","0","0%"
"Tyler Alexander","MIL","SP,RP","53.3","45","3","3","4.62","1.26","27","55","12","10","36","2","1","0","0%"
"Tekoah Roby","STL","SP","9.2","7","0","1","4.87","1.35","5","10","3","1","2","2","1","0","0%"
"Carson Palmquist","COL","","16.0","14","1","2","4.89","1.47","9","16","7","3","5","3","1","0","0%"
"Adrian Houser","TEX","SP,RP","27.2","19","1","2","4.64","1.43","14","28","10","3","7","4","1","0","0%"
"Colton Gordon","HOU","SP","18.7","16","1","1","4.26","1.27","9","18","6","3","11","2","1","0","0%"
"Cristian Mena","ARI","SP","17.9","16","1","1","4.29","1.39","9","18","7","2","12","2","0","0","0%"
"Ty Madden","DET","SP","23.3","22","1","1","4.37","1.33","11","22","9","3","21","0","0","0","0%"
"Mick Abel","PHI","SP","19.0","17","1","1","4.59","1.45","10","18","10","3","17","0","0","0","0%"
"Wade Miley","CIN","SP","41.5","27","2","3","4.79","1.41","22","44","15","6","8","8","3","0","0%"
"Cooper Criswell","BOS","SP","29.6","22","1","1","4.43","1.35","15","31","9","3","17","2","1","0","0%"
"Brandyn Garcia","SEA","","18.3","17","1","1","3.95","1.32","8","17","7","2","18","0","0","0","0%"
"Carson Seymour","SF","SP","24.4","20","1","1","4.10","1.35","11","24","8","3","21","1","0","0","0%"
"Sem Robberse","STL","SP","23.4","18","1","1","4.30","1.34","11","23","8","3","18","1","1","0","0%"
"Yoendrys Gomez","NYY","SP,RP","38.1","36","2","2","4.44","1.34","19","34","17","6","30","1","0","0","0%"
"Moises Chace","PHI","SP,RP","7.8","8","0","1","4.99","1.55","4","7","5","1","2","2","1","0","0%"
"Jacob Waguespack","TB","SP,RP","40.3","41","2","2","4.15","1.35","19","38","16","5","31","1","1","0","0%"
"Jake Bloss","TOR","SP","39.3","32","2","2","4.71","1.39","21","39","16","6","18","6","2","0","0%"
"Joe Rock","TB","SP","24.7","20","1","1","4.20","1.32","12","25","7","3","16","2","1","0","0%"
"AJ Blubaugh","HOU","SP","9.0","8","1","1","4.07","1.40","4","10","3","1","7","0","0","0","0%"
"Andrew Morris","MIN","","11.2","9","1","1","4.08","1.31","5","11","3","2","11","0","0","0","0%"
"Andrew Wantz","TB","SP,RP","9.9","10","0","0","4.50","1.32","5","9","4","2","7","0","0","0","0%"
"Valente Bellozo","MIA","SP","59.9","44","2","4","4.88","1.40","32","63","21","10","21","9","3","0","0%"
"Zack Thompson","STL","SP","34.4","34","2","2","4.22","1.39","16","31","16","4","30","0","0","0","0%"
"Angel Bastardo","TOR","","15.7","14","1","1","4.23","1.34","7","15","6","2","15","0","0","0","0%"
"Huascar Ynoa","MIN","SP,RP","18.7","18","1","1","4.46","1.39","9","18","8","3","18","0","0","0","0%"
"Ben Casparius","LAD","SP","36.4","36","2","2","4.56","1.38","18","34","17","5","31","0","0","0","0%"
"Vince Velasquez","CLE","SP","17.8","17","1","1","4.33","1.32","9","17","7","3","12","1","1","0","0%"
"Davis Daniel","ATL","SP","16.5","14","1","1","4.35","1.31","8","17","5","2","12","0","0","0","0%"
"Nick Frasso","LAD","SP","12.9","12","1","1","4.14","1.29","6","12","4","2","13","0","0","0","0%"
"Will Dion","CLE","SP","11.4","10","1","1","4.09","1.35","5","12","4","2","9","0","0","0","0%"
"Blas Castano","SEA","","24.8","19","1","1","4.26","1.33","12","25","8","3","18","2","1","0","0%"
"Cory Lewis","MIN","","11.5","10","1","1","4.45","1.40","6","11","5","1","10","0","0","0","0%"
"Doug Nikhazy","CLE","SP","37.4","36","2","2","4.27","1.40","18","34","19","5","32","0","0","0","0%"
"Caleb Kilian","CHC","SP,RP","24.3","19","1","1","4.29","1.36","12","24","9","3","16","2","1","0","0%"
"Jose Urquidy","DET","SP","20.6","17","1","1","4.61","1.27","11","21","6","4","4","4","1","0","0%"
"Max Rajcic","STL","","9.3","7","1","1","4.64","1.30","5","9","3","1","9","0","0","0","0%"
"Tyler Mattison","DET","SP,RP","18.0","18","1","1","4.19","1.34","8","16","8","2","18","0","0","0","0%"
"Ricky Vanasco","DET","RP","14.0","14","1","1","4.76","1.60","7","12","10","1","14","0","0","0","0%"
"Shintaro Fujinami","SEA","RP","25.7","28","1","1","4.32","1.40","12","21","15","3","25","0","0","0","0%"
"Ryan Gusto","HOU","","35.9","30","2","2","4.47","1.34","18","35","13","5","19","3","1","0","0%"
"Nabil Crismatt","PHI","SP,RP","11.7","10","1","1","4.71","1.36","6","12","4","2","11","0","0","0","0%"
"Alan Rangel","PHI","SP,RP","21.2","19","1","1","4.69","1.35","11","21","8","3","20","0","0","0","0%"
"Mike Vasil","TB","SP","41.9","33","2","2","4.54","1.36","21","43","14","6","37","0","0","0","0%"
"Yoniel Curet","TB","SP","17.1","19","1","1","4.51","1.48","9","14","12","3","5","3","2","0","0%"
"Cam Schlittler","NYY","","9.1","8","1","1","4.48","1.35","5","9","4","1","2","2","1","0","0%"
"Bryse Wilson","CWS","SP,RP","90.0","66","3","6","4.73","1.36","47","95","28","15","35","11","4","0","0%"
"Brad Lord","WSH","","26.5","18","1","1","4.76","1.37","14","28","9","4","20","2","1","0","0%"
"Zach Penrod","BOS","SP,RP","16.8","18","1","1","4.23","1.42","8","15","9","2","19","0","0","0","0%"
"Elvin Rodriguez","MIL","SP","22.7","20","1","1","4.44","1.34","11","22","9","3","21","0","0","0","0%"
"Tyler Phillips","PHI","SP","28.2","21","1","2","4.59","1.38","14","30","9","4","23","1","0","0","0%"
"Blake Walston","ARI","SP,RP","31.4","27","2","2","4.35","1.40","15","31","13","4","25","0","0","0","0%"
"Jackson Rutledge","WSH","SP","27.9","23","1","2","4.67","1.43","14","27","12","4","24","1","0","0","0%"
"Drew Rom","STL","SP","16.9","16","1","1","4.62","1.48","9","17","8","2","4","3","1","0","0%"
"Ryan Bergert","SD","","20.0","16","1","1","4.77","1.41","11","20","8","3","13","2","1","0","0%"
"Anthony DeSclafani","","SP","49.3","39","3","3","4.58","1.32","25","52","13","8","11","9","4","0","0%"
"Rob Zastryzny","NYY","RP","16.1","16","1","0","4.62","1.37","8","15","7","2","15","1","0","0","0%"
"Alex Cornwell","STL","","7.6","5","0","0","4.24","1.37","4","8","2","1","8","0","0","0","0%"
"Eric Lauer","TOR","SP","26.1","25","2","2","4.72","1.41","14","26","11","5","7","1","0","0","0%"
"Mason Barnett","ATH","SP","11.5","10","1","1","4.44","1.37","6","11","5","2","3","2","1","0","0%"
"Taylor Clarke","KC","SP,RP","11.6","10","0","1","4.38","1.33","6","12","4","2","10","0","0","0","0%"
"J.P. France","HOU","SP","27.4","24","1","2","4.61","1.41","14","27","12","4","15","2","1","0","0%"
"Tommy Henry","ARI","SP","29.7","25","1","1","4.49","1.42","15","30","12","4","25","0","0","0","0%"
"Randy Dobnak","MIN","SP,RP","10.5","8","0","0","4.34","1.41","5","10","4","1","8","0","0","0","0%"
"Joey Lucchesi","SF","SP,RP","17.7","12","1","1","4.38","1.46","9","19","7","2","13","1","0","0","0%"
"Dylan Dodd","ATL","SP","27.1","22","1","1","4.60","1.37","14","29","8","4","23","0","0","0","0%"
"Max Kranick","NYM","RP","38.5","32","2","2","4.36","1.31","19","37","13","6","35","0","0","0","0%"
"Travis Adams","MIN","","18.5","14","1","1","4.50","1.37","9","19","6","2","12","2","1","0","0%"
"Domingo German","","SP,RP","33.2","28","1","2","4.91","1.29","18","31","12","5","7","5","1","0","0%"
"Jonathan Bowlan","KC","SP,RP","32.3","26","2","2","4.44","1.35","16","33","10","4","29","0","-0","0","0%"
"Hogan Harris","ATH","SP,RP","42.9","39","2","2","4.42","1.41","21","40","20","6","36","1","0","0","0%"
"Brad Keller","CHC","RP","23.6","18","1","1","4.44","1.43","12","24","10","3","18","1","1","0","0%"
"Jhonathan Diaz","SEA","SP","10.5","9","0","1","4.24","1.39","5","10","4","1","4","2","1","0","0%"
"Tejay Antone","CIN","RP","10.2","9","0","0","4.57","1.40","5","10","4","1","11","0","0","0","0%"
"Jose Urena","NYM","SP,RP","19.2","14","1","1","4.55","1.40","10","20","7","3","15","0","0","0","0%"
"Shaun Anderson","LAA","SP,RP","9.5","7","0","0","4.46","1.37","5","10","3","1","7","0","0","0","0%"
"Connor Seabold","TB","SP,RP","12.8","11","1","1","4.89","1.30","7","13","4","2","8","1","0","0","0%"
"John Rooney","MIA","SP","25.7","23","1","1","4.40","1.42","13","26","11","3","24","0","0","0","0%"
"Marco Gonzales","","SP","14.0","10","1","1","4.77","1.40","7","15","5","2","3","3","1","0","0%"
"Jake Eder","CWS","SP","14.3","12","1","1","4.84","1.51","8","14","7","2","12","0","0","0","0%"
